Title,Abstract,Authors,Journal,DOI
Cardiac amyloidosis.,"Cardiac amyloidosis is a disease characterised by the accumulation of amyloid protein in the heart tissue. There are several types of amyloidosis, but the most common types affecting the heart are ATTR amyloidosis (caused by transthyretin protein) and AL amyloidosis (caused by abnormal immunoglobulin light chains). Cardiac amyloidosis causes typical signs and symptoms of heart failure. Diagnosis involves a combination of imaging tests such as echocardiography and cardiac magnetic resonance imaging, as well as nuclear imaging scans and tissue biopsies to confirm the presence of amyloid deposits in the heart. Treatment of cardiac amyloidosis depends on the type and severity of the disease and includes medications to manage symptoms as well as treatments targeting the underlying cause of amyloidosis. Importantly, cardiac amyloidosis is a serious condition requiring specialised care from a multidisciplinary team including cardiologists and haematologists as well as other specialists familiar with the management of this rare disease. This is crucial, as early diagnosis and treatment are important for improving outcomes.","Laptseva N, Benz DC, Schwotzer R, Flammer AJ",Swiss Med Wkly. 2024 Nov 14;154:4186. doi: 10.57187/s.4186.,4186 [pii]
Cardiac amyloidosis.,"Systemic amyloidosis comprises an uncommon group of disorders caused by the extracellular deposition of misfolded proteins in various organs. Cardiac amyloid deposition, causing an infiltrative/restrictive cardiomyopathy, is a frequent feature of amyloidosis and a major determinant of survival. It may be the presenting feature of the disease or may be identified while investigating a patient presenting with other organ involvement. The need for a high index of suspicion and the critical importance of precise biochemical typing of the amyloid deposits is paramount in light of recent therapeutic advances that can significantly improve prognosis. Most cases of cardiac amyloidosis are of either transthyretin type, which may be acquired in older individuals or inherited in younger patients, or acquired monoclonal immunoglobulin light chain (AL) type. This article aims to review recent developments in diagnosis and management of cardiac amyloidosis.","Martinez-Naharro A, Hawkins PN, Fontana M",Clin Med (Lond). 2018 Apr 1;18(Suppl 2):s30-s35. doi: 10.7861/clinmedicine.18-2-s30.,S1470-2118(24)00083-6 [pii]
Biomarkers in AL Amyloidosis.,"Systemic AL amyloidosis is a rare complex hematological disorder caused by clonal plasma cells which produce amyloidogenic immunoglobulins. Outcome and prognosis is the combinatory result of the extent and pattern of organ involvement secondary to amyloid fibril deposition and the biology and burden of the underlying plasma cell clone. Prognosis, as assessed by overall survival, and early outcomes is determined by degree of cardiac dysfunction and current staging systems are based on biomarkers that reflect the degree of cardiac damage. The risk of progression to end-stage renal disease requiring dialysis is assessed by renal staging systems. Longer-term survival and response to treatment is affected by markers of the underlying plasma cell clone; the genetic background of the clonal disease as evaluated by interphase fluorescence in situ hybridization in particular has predictive value and may guide treatment selection. Free light chain assessment forms the basis of hematological response criteria and minimal residual disease as assessed by sensitive methods is gradually being incorporated into clinical practice. However, sensitive biomarkers that could aid in the early diagnosis and that could reflect all aspects of organ damage and disease biology are needed and efforts to identify them are continuous.","Fotiou D, Theodorakakou F, Kastritis E",Int J Mol Sci. 2021 Oct 9;22(20):10916. doi: 10.3390/ijms222010916.,ijms222010916 [pii]
"The Last Decade in Cardiac Amyloidosis: Advances in Understanding Pathophysiology, Diagnosis and Quantification, Prognosis, Treatment Strategies, and Monitoring Response.","Cardiac amyloidosis represents a unique disease process characterized by amyloid fibril deposition within the myocardial extracellular space. Advances in multimodality cardiac imaging enable accurate diagnosis and facilitate prompt initiation of disease-modifying therapies. Furthermore, rapid advances in multimodality imaging have enriched understanding of the underlying pathogenesis, enhanced prognostication, and resulted in the development of imaging-based markers that reflect the amyloid burden, which is of increasing importance when assessing the response to treatment. Whereas conventional therapies have focused on reducing amyloid formation and subsequent stabilization of the cardiac disease process, novel agents are being developed to accelerate the immune-mediated removal of amyloid fibrils from the heart. In this context, the ability to track changes in the amyloid burden over time is of paramount importance. Although advanced imaging techniques have shown efficacy in tracking the treatment response, future research focused on improved precision through use of artificial intelligence may augment the detection of changes earlier in the course of treatment.","Fontana M, Ioannou A, Cuddy S, Dorbala S, Masri A, Moon JC, Singh V, Clerc O, Hanna M, Ruberg F, Grogan M, Emdin M, Gillmore J",JACC Cardiovasc Imaging. 2025 Apr;18(4):478-499. doi: 10.1016/j.jcmg.2024.10.011. Epub 2025 Jan 8.,S1936-878X(24)00458-3 [pii]
Transthyretin cardiac amyloidosis.,"Transthyretin cardiac amyloidosis (ATTR-CA) is an increasingly recognized cause of heart failure (HF) and mortality worldwide. Advances in non-invasive diagnosis, coupled with the development of effective treatments, have shifted ATTR-CA from a rare and untreatable disease to a relatively prevalent condition that clinicians should consider on a daily basis. Amyloid fibril formation results from age-related failure of homoeostatic mechanisms in wild-type ATTR (ATTRwt) amyloidosis (non-hereditary form) or destabilizing mutations in variant ATTR (ATTRv) amyloidosis (hereditary form). Longitudinal large-scale studies in the United States suggest an incidence of cardiac amyloidosis in the contemporary era of 17 per 100 000, which has increased from a previous estimate of 0.5 per 100 000, which was almost certainly due to misdiagnosis and underestimated. The presence and degree of cardiac involvement is the leading cause of mortality both in ATTRwt and ATTRv amyloidosis, and can be identified in up to 15% of patients hospitalized for HF with preserved ejection fraction. Associated features, such as carpal tunnel syndrome, can preceed by several years the development of symptomatic HF and may serve as early disease markers. Echocardiography and cardiac magnetic resonance raise suspicion of disease and might offer markers of treatment response at a myocardial level, such as extracellular volume quantification. Radionuclide scintigraphy with 'bone' tracers coupled with biochemical tests may differentiate ATTR from light chain amyloidosis. Therapies able to slow or halt ATTR-CA progression and increase survival are now available. In this evolving scenario, early disease recognition is paramount to derive the greatest benefit from treatment.","Porcari A, Fontana M, Gillmore JD",Cardiovasc Res. 2023 Feb 3;118(18):3517-3535. doi: 10.1093/cvr/cvac119.,6656156 [pii]
How to Image Cardiac Amyloidosis: A Practical Approach.,"Cardiac amyloidosis (CA) is one of the most rapidly progressive forms of heart disease, with a median survival from diagnosis, if untreated, ranging from <6 months for light chain amyloidosis to 3 to 5 years for transthyretin amyloidosis. Early diagnosis and accurate typing of CA are necessary for optimal management of these patients. Emerging novel disease modifying therapies increase the urgency to diagnose CA at an early stage and identify patients who may benefit from these life-saving therapies. The goal of this review is to provide a practical approach to echocardiography, cardiac magnetic resonance, and radionuclide imaging in patients with known or suspected CA.","Dorbala S, Cuddy S, Falk RH",JACC Cardiovasc Imaging. 2020 Jun;13(6):1368-1383. doi: 10.1016/j.jcmg.2019.07.015. Epub 2019 Oct 11.,S1936-878X(19)30713-2 [pii]
Understanding and recognizing cardiac amyloidosis.,"Cardiac amyloidosis is an infiltrative abnormality that causes myocardial thickening and dysfunction. Historically, it has been underrecognized as a cause of heart failure and was often misdiagnosed. In the past decade, the cardiology community has improved the understanding of the subtypes of these protein-based infiltrates and how they play a role in heart failure. This article reviews the pathophysiology, presentation, diagnosis, and management of cardiac amyloidosis.","McVeigh T, Tennyson C",JAAPA. 2020 Oct;33(10):16-20. doi: 10.1097/01.JAA.0000697236.11386.3a.,01720610-202010000-00001 [pii]
Imaging-Guided Treatment for Cardiac Amyloidosis.,"PURPOSE OF REVIEW: This review will explore the role of cardiac imaging in guiding treatment in the two most commonly encountered subtypes of cardiac amyloidosis (immunoglobulin light-chain amyloidosis [AL] and transthyretin amyloidosis [ATTR]). RECENT FINDINGS: Advances in multi-parametric cardiac imaging involving a combination of bone scintigraphy, echocardiography and cardiac magnetic resonance imaging have resulted in earlier diagnosis and initiation of treatment, while the evolution of techniques such as longitudinal strain and extracellular volume quantification allow clinicians to track individuals' response to treatment. Imaging developments have led to a deeper understanding of the disease process and treatment mechanisms, which in combination result in improved patient outcomes. The rapidly expanding treatment regimens for cardiac amyloidosis have led to an even greater reliance on cardiac imaging to help establish an accurate diagnosis, monitor treatment response and aid the adjustment of treatment strategies accordingly.","Ioannou A, Patel R, Gillmore JD, Fontana M",Curr Cardiol Rep. 2022 Jul;24(7):839-850. doi: 10.1007/s11886-022-01703-7. Epub 2022 May 7.,10.1007/s11886-022-01703-7 [pii]
Multiparametric Echocardiography Scores for the Diagnosis of Cardiac Amyloidosis.,"OBJECTIVES: This study aimed to investigate the accuracy of a broad range of echocardiographic variables to develop multiparametric scores to diagnose CA in patients with proven light chain (AL) amyloidosis or those with increased heart wall thickness who had amyloid was suspected. We also aimed to further characterize the structural and functional changes associated with amyloid infiltration. BACKGROUND: Cardiac amyloidosis (CA) is a serious but increasingly treatable cause of heart failure. Diagnosis is challenging and frequently unclear at echocardiography, which remains the most often used imaging tool. METHODS: We studied 1,187 consecutive patients evaluated at 3 referral centers for CA and analyzed morphological, functional, and strain-derived echocardiogram parameters with the aim of developing a score-based diagnostic algorithm. Cardiac amyloid burden was quantified by using extracellular volume measurements at cardiac magnetic resonance. RESULTS: A total of 332 patients were diagnosed with AL amyloidosis and 339 patients with transthyretin CA. Concentric remodeling and strain-derived parameters displayed the best diagnostic performance. A multivariable logistic regression model incorporating relative wall thickness, E wave/e' wave ratio, longitudinal strain, and tricuspid annular plane systolic excursion had the greatest diagnostic performance in AL amyloidosis (area under the curve: 0.90; 95% confidence interval: 0.87 to 0.92), whereas the addition of septal apical-to-base ratio yielded the best diagnostic accuracy in the increased heart wall thickness group (area under the curve: 0.80; 95% confidence interval: 0.85 to 0.90). CONCLUSIONS: Specific functional and structural parameters characterize different burdens of CA deposition with different diagnostic performances and enable the definition of 2 scores that are sensitive and specific tools with which diagnose or exclude CA.","Boldrini M, Cappelli F, Chacko L, Restrepo-Cordoba MA, Lopez-Sainz A, Giannoni A, Aimo A, Baggiano A, Martinez-Naharro A, Whelan C, Quarta C, Passino C, Castiglione V, Chubuchnyi V, Spini V, Taddei C, Vergaro G, Petrie A, Ruiz-Guerrero L, Moñivas V, Mingo-Santos S, Mirelis JG, Dominguez F, Gonzalez-Lopez E, Perlini S, Pontone G, Gillmore J, Hawkins PN, Garcia-Pavia P, Emdin M, Fontana M",JACC Cardiovasc Imaging. 2020 Apr;13(4):909-920. doi: 10.1016/j.jcmg.2019.10.011. Epub 2019 Dec 18.,S1936-878X(19)31007-1 [pii]
Amyloid cardiomyopathy.,"Cardiac amyloidosis is a heterogeneous group of diseases characterized by extracellular deposition of amyloid fibrils in many different organs finally resulting in organ failure. Cardiac involvement is common for immunoglobulin light chain amyloidosis (AL) or transthyretin amyloidosis (ATTR); the latter is caused by a transthyretin gene variant or wild-type protein. Precise diagnostic assessment including laboratory tests, electrocardiography, echocardiography, cardiac magnetic resonance imaging, biopsy, and/or bone scintigraphy is mandatory for definition of the amyloid type and finally for treatment initiation. Treatment of cardiac amyloidosis includes symptomatic therapy of heart failure as well as the underlying disease. Causative treatment of AL amyloidosis is according to regimens used for multiple myeloma. For many years, orthotopic liver transplantation was the only treatment available for hereditary ATTR amyloidosis, but important advances have been made after approval of a novel class of medication, namely, RNA silencers. However, currently no treatment is available to remove amyloid deposited in the tissue. Thus, early diagnosis is still critical to afford the best efficacy of available therapies.",Kristen AV,Herz. 2020 May;45(3):267-271. doi: 10.1007/s00059-020-04904-4.,10.1007/s00059-020-04904-4 [pii]
