Title,Abstract,DOI,Authors,Year,Document_Type,Journal,Source,DECISION,MOTIVO
Biomarkers in AL Amyloidosis.,"Systemic AL amyloidosis is a rare complex hematological disorder caused by clonal plasma cells which produce amyloidogenic immunoglobulins. Outcome and prognosis is the combinatory result of the extent and pattern of organ involvement secondary to amyloid fibril deposition and the biology and burden of the underlying plasma cell clone. Prognosis, as assessed by overall survival, and early outcomes is determined by degree of cardiac dysfunction and current staging systems are based on biomarkers that reflect the degree of cardiac damage. The risk of progression to end-stage renal disease requiring dialysis is assessed by renal staging systems. Longer-term survival and response to treatment is affected by markers of the underlying plasma cell clone; the genetic background of the clonal disease as evaluated by interphase fluorescence in situ hybridization in particular has predictive value and may guide treatment selection. Free light chain assessment forms the basis of hematological response criteria and minimal residual disease as assessed by sensitive methods is gradually being incorporated into clinical practice. However, sensitive biomarkers that could aid in the early diagnosis and that could reflect all aspects of organ damage and disease biology are needed and efforts to identify them are continuous.",ijms222010916 [pii],"Fotiou D, Theodorakakou F, Kastritis E",,,Int J Mol Sci. 2021 Oct 9;22(20):10916. doi: 10.3390/ijms222010916.,PubMed,DUDOSO,Menciona AL con criterios parciales — revisión manual
Transthyretin cardiac amyloidosis.,"Transthyretin cardiac amyloidosis (ATTR-CA) is an increasingly recognized cause of heart failure (HF) and mortality worldwide. Advances in non-invasive diagnosis, coupled with the development of effective treatments, have shifted ATTR-CA from a rare and untreatable disease to a relatively prevalent condition that clinicians should consider on a daily basis. Amyloid fibril formation results from age-related failure of homoeostatic mechanisms in wild-type ATTR (ATTRwt) amyloidosis (non-hereditary form) or destabilizing mutations in variant ATTR (ATTRv) amyloidosis (hereditary form). Longitudinal large-scale studies in the United States suggest an incidence of cardiac amyloidosis in the contemporary era of 17 per 100 000, which has increased from a previous estimate of 0.5 per 100 000, which was almost certainly due to misdiagnosis and underestimated. The presence and degree of cardiac involvement is the leading cause of mortality both in ATTRwt and ATTRv amyloidosis, and can be identified in up to 15% of patients hospitalized for HF with preserved ejection fraction. Associated features, such as carpal tunnel syndrome, can preceed by several years the development of symptomatic HF and may serve as early disease markers. Echocardiography and cardiac magnetic resonance raise suspicion of disease and might offer markers of treatment response at a myocardial level, such as extracellular volume quantification. Radionuclide scintigraphy with 'bone' tracers coupled with biochemical tests may differentiate ATTR from light chain amyloidosis. Therapies able to slow or halt ATTR-CA progression and increase survival are now available. In this evolving scenario, early disease recognition is paramount to derive the greatest benefit from treatment.",6656156 [pii],"Porcari A, Fontana M, Gillmore JD",,,Cardiovasc Res. 2023 Feb 3;118(18):3517-3535. doi: 10.1093/cvr/cvac119.,PubMed,DUDOSO,Menciona AL con criterios parciales — revisión manual
Multiparametric Echocardiography Scores for the Diagnosis of Cardiac Amyloidosis.,"OBJECTIVES: This study aimed to investigate the accuracy of a broad range of echocardiographic variables to develop multiparametric scores to diagnose CA in patients with proven light chain (AL) amyloidosis or those with increased heart wall thickness who had amyloid was suspected. We also aimed to further characterize the structural and functional changes associated with amyloid infiltration. BACKGROUND: Cardiac amyloidosis (CA) is a serious but increasingly treatable cause of heart failure. Diagnosis is challenging and frequently unclear at echocardiography, which remains the most often used imaging tool. METHODS: We studied 1,187 consecutive patients evaluated at 3 referral centers for CA and analyzed morphological, functional, and strain-derived echocardiogram parameters with the aim of developing a score-based diagnostic algorithm. Cardiac amyloid burden was quantified by using extracellular volume measurements at cardiac magnetic resonance. RESULTS: A total of 332 patients were diagnosed with AL amyloidosis and 339 patients with transthyretin CA. Concentric remodeling and strain-derived parameters displayed the best diagnostic performance. A multivariable logistic regression model incorporating relative wall thickness, E wave/e' wave ratio, longitudinal strain, and tricuspid annular plane systolic excursion had the greatest diagnostic performance in AL amyloidosis (area under the curve: 0.90; 95% confidence interval: 0.87 to 0.92), whereas the addition of septal apical-to-base ratio yielded the best diagnostic accuracy in the increased heart wall thickness group (area under the curve: 0.80; 95% confidence interval: 0.85 to 0.90). CONCLUSIONS: Specific functional and structural parameters characterize different burdens of CA deposition with different diagnostic performances and enable the definition of 2 scores that are sensitive and specific tools with which diagnose or exclude CA.",S1936-878X(19)31007-1 [pii],"Boldrini M, Cappelli F, Chacko L, Restrepo-Cordoba MA, Lopez-Sainz A, Giannoni A, Aimo A, Baggiano A, Martinez-Naharro A, Whelan C, Quarta C, Passino C, Castiglione V, Chubuchnyi V, Spini V, Taddei C, Vergaro G, Petrie A, Ruiz-Guerrero L, Moñivas V, Mingo-Santos S, Mirelis JG, Dominguez F, Gonzalez-Lopez E, Perlini S, Pontone G, Gillmore J, Hawkins PN, Garcia-Pavia P, Emdin M, Fontana M",,,JACC Cardiovasc Imaging. 2020 Apr;13(4):909-920. doi: 10.1016/j.jcmg.2019.10.011. Epub 2019 Dec 18.,PubMed,DUDOSO,Menciona AL con criterios parciales — revisión manual
Renal amyloidosis: an update on diagnosis and pathogenesis.,"Amyloidosis is a diverse group of protein conformational disorder which is caused by accumulation and deposition of insoluble protein fibrils in vital tissues or organs, instigating organ dysfunction. Renal amyloidosis is characterized by the acellular Congo red-positive pathologic deposition of amyloid fibrils within glomeruli and/or the interstitium. It is generally composed of serum amyloid A-related protein or an immunoglobulin light chain; other rare forms lysozyme, gelsolin, fibrinogen alpha chain, transthyretin, apolipoproteins AI/AII/AIV/CII/CIII; and the recently identified form ALECT2. This disease typically manifests with heavy proteinuria, nephrotic syndrome, and finally progression to end-stage renal failure. Early diagnosis of renal amyloidosis is arduous as its symptoms appear in later stages with prominent amyloid deposition. The identification of the correct type of amyloidosis is quite troublesome as it can be confused with another related form. Therefore, the exact typing of amyloid is essential for prognosis, treatment, and correct management of renal amyloidosis. The emanation of new techniques of proteomic analysis, for instance, mass spectroscopy/laser microdissection, has provided greater accuracy in amyloid typing. This in-depth review emphasizes on the clinical features, renal pathological findings, and diagnosis of the AL and non-AL forms of renal amyloidosis.",10.1007/s00709-020-01513-0 [pii],"Gupta N, Kaur H, Wajid S",,,Protoplasma. 2020 Sep;257(5):1259-1276. doi: 10.1007/s00709-020-01513-0. Epub 2020 May 24.,PubMed,DUDOSO,Menciona AL con criterios parciales — revisión manual
Alterations in multi-layer strain in AL amyloidosis.,"BACKGROUND: Cardiac involvement in AL amyloidosis portends a poor prognosis. 2D-speckle tracking echocardiography (2D-STE) strain can identify subclinical cardiac involvement. This study performed multilayer and multiplanar 2D-STE myocardial strain analysis. METHODS: We compared 75 AL amyloidosis patients to 49 hypertensive patients and 49 healthy controls. Longitudinal strain was obtained from epicardial, mid-myocardial and endocardial layers; segmental strain was measured from mid-myocardial basal, mid and apical segments. RESULTS: Global longitudinal strain was reduced in epicardial (-14.3 ± -4.0% vs. -17.4 ± 2.2% vs. -17.5 ± -2.0%, p < .001), mid-myocardial (-16.3 ± -4.5% vs. -19.7 ± 2.5% vs. -19.7 ± -2.2%, p < .001) and endocardial layers (-18.7 ± -4.9% vs. -22.2 ± 3.0% vs. -22.3 ± -2.6%, p < .001) in amyloid patients compared to hypertensive and healthy controls. Segmental strain confirmed significant reduction in basal (-11.2 ± -3.9% vs. -17.6 ± 2.7% vs. -20.9 ± -3.4%, p < .001) and mid (-14.8 ± -4.3% vs. -19.2 ± 2.5% vs. -19.6 ± -2.2%, p < .001) LV segments in the AL amyloid group. Receiver operating curve analysis demonstrated that an optimal cut-off of -16% for basal segmental strain better differentiated AL amyloid from hypertensive group (sensitivity 96%, specificity 70%, AUC 0.93), compared to relative apical sparing (AUC of 0.85). CONCLUSION: Strain demonstrated myocardial involvement in all layers in AL amyloidosis, with reduced basal segmental longitudinal strain a likely marker of early disease.",10.1080/13506129.2022.2026914 [doi],"Sivapathan S, Geenty P, Deshmukh T, Boyd A, Richards D, Stewart G, Taylor MS, Kwok F, Thomas L",,,Amyloid. 2022 Jun;29(2):128-136. doi: 10.1080/13506129.2022.2026914. Epub 2022 Feb 21.,PubMed,DUDOSO,Menciona AL con criterios parciales — revisión manual
Management of the elderly patient with AL amyloidosis.,"Systemic immunoglobulin light chain (AL) amyloidosis is an aging-associated protein misfolding and deposition disease. This condition is caused by a small and otherwise indolent plasma cell (or B cell) clone secreting an unstable circulating light chain, which misfolds and deposits as amyloid fibrils possibly leading to progressive dysfunction of affected organs. AL amyloidosis can occur in the typical setting of other, rarer forms of systemic amyloidosis and can mimic other more prevalent conditions of the elderly. Therefore, its diagnosis requires a high degree of clinical suspicion and reliable diagnostic tools for accurate amyloid typing, available at specialized referral centers. In AL amyloidosis, frailty is dictated by the type and severity of organ involvement, with heart involvement being the main determinant of morbidity and mortality. Still, given a similar disease stage, elderly patients with AL amyloidosis are often an even frailer group, due to significant comorbidities, associated disability and polypharmacotherapy, socioeconomic restrictions, and limited access to clinical trials. Recent improvements in the use of biomarkers for early diagnosis, risk stratification and response monitoring, the flourishing of novel, effective anti-plasma cell therapies developed against multiple myeloma and adapted to treat AL amyloidosis, and possibly the introduction of anti-amyloid therapies are rapidly changing the clinical management of this disease and are reflected by improved outcomes. Of note, hematologic and organ responses in elderly patients with AL amyloidosis do translate in better outcome, advocating the importance of treating these patients and striving for a rapid response to therapy also in this challenging clinical setting.",S0953-6205(18)30181-X [pii],"Nuvolone M, Milani P, Palladini G, Merlini G",,,Eur J Intern Med. 2018 Dec;58:48-56. doi: 10.1016/j.ejim.2018.05.004. Epub 2018 May 23.,PubMed,DUDOSO,Menciona AL con criterios parciales — revisión manual
Biobanking strategy and sample preprocessing for integrative research in monoclonal gammopathies.,"AIMS: Some types of monoclonal gammopathies are typified by a very limited availability of aberrant cells. Modern research use high throughput technologies and an integrated approach for detailed characterisation of abnormal cells. This strategy requires relatively high amounts of starting material which cannot be obtained from every diagnosis without causing inconvenience to the patient. The aim of this methodological paper is to reflect our long experience with laboratory work and describe the best protocols for sample collection, sorting and further preprocessing in terms of the available number of cells and intended downstream application in monoclonal gammopathies research. Potential pitfalls are also discussed. METHODS: Comparison and optimisation of freezing and sorting protocols for plasma cells in monoclonal gammopathies, followed by testing of various nucleic acid isolation and amplification techniques to establish a guideline for sample processing in haemato-oncology research. RESULTS: We show the average numbers of aberrant cells that can be obtained from various monoclonal gammopathies (monoclonal gammopathy of undetermined significance/light chain amyloidosis/multiple myeloma (MM)/MM circulating plasma cells/ minimal residual disease MM-10 123/22 846/305 501/68 641/4000 aberrant plasma cells of 48/30/10/16/37×10(6) bone marrow mononuclear cells) and the expected yield of nucleic acids provided from multiple isolation kits (DNA/RNA yield from 1 to 200×10(3) cells was 2.14-427/0.12-123 ng). CONCLUSIONS: Tested kits for parallel isolation deliver outputs comparable with kits specialised for just one type of molecule. We also present our positive experience with the whole genome amplification method, which can serve as a very powerful tool to gain complex information from a very small cell population.",jclinpath-2017-204329 [pii],"Ševčíková T, Growková K, Kufová Z, Filipová J, Vrublová P, Jelínek T, Kořístek Z, Kryukov F, Kryukova E, Hájek R",,,J Clin Pathol. 2017 Oct;70(10):847-853. doi: 10.1136/jclinpath-2017-204329. Epub 2017 Mar 30.,PubMed,DUDOSO,Menciona AL con criterios parciales — revisión manual
Bad players in AL amyloidosis in the current era of treatment.,"INTRODUCTION: Systemic AL amyloidosis (ALA) is a clonal plasma cell (PC) disease characterized by deposition of amyloid fibrils in different organs and tissues. Traditionally, the prognosis of ALA is poor and is primarily defined by cardiac involvement. The modern prognostic models are based on cardiac markers and free light chain difference (dFLC). Cardiac biomarkers have low specificity and are dependent on renal function, volume status, and cardiac diseases other than ALA. New therapies significantly improved the prognosis of the disease. The advancements in technologies - cardiac echocardiography (ECHO) and cardiac MRI (CMR), as well as new biological markers, relying on cardiac injury, inflammation, endothelial damage, and clonal and non-clonal PC markers are promising. AREAS COVERED: An update on the prognostic significance of cardiac ALA, number of involved organs, response to treatment, including minimal residual disease (MRD), ECHO, MRI, and new biological markers will be discussed. The literature search was done in PubMed and Google Scholar, and the most recent and relevant data are included. EXPERT OPINION: Prospective multicenter trials, evaluating multiple clinical and laboratory parameters, should be done to improve the risk assessment models in ALA in the modern era of therapy.",10.1080/17474086.2023.2166924 [doi],"Kreiniz N, Gertz MA",,,Expert Rev Hematol. 2023 Jan;16(1):33-49. doi: 10.1080/17474086.2023.2166924. Epub 2023 Jan 12.,PubMed,DUDOSO,Menciona AL con criterios parciales — revisión manual
The diagnostic performance of cardiac magnetic resonance in detection of myocardial involvement in AL amyloidosis.,"BACKGROUND: The non-invasive assessment of amyloid heart disease may be challenging. Cardiac magnetic resonance (CMR) represents a method of choice for assessment of left ventricular (LV) morphology and function, and it also provides a unique possibility to evaluate the presence of amyloid deposition by the late gadolinium enhancement (LGE) technique. However, so far, published studies have not been consistent in terms of described LGE patterns associated with amyloid cardiomyopathy. AIMS: To compare echocardiographic and CMR assessment of LV morphology and function and to evaluate the presence and pattern of LGE in a population of patients with AL amyloid cardiomyopathy. METHODS: Twenty-two consecutive patients with newly diagnosed AL amyloid cardiomyopathy and without contraindications to CMR were comprehensively examined by echocardiography and CMR. RESULTS: Echocardiography and CMR did not differ in the evaluation of interventricular septal thickness, LV end-diastolic diameter and ejection fraction. Significant differences were found between echocardiographic and CMR estimates of LV end-diastolic volume (P<0·01) and LV mass (P<0·001). Various global LGE patterns (transmural homogenous or heterogeneous, subendocardial) were present in 17 patients (77%), patchy LGE was observed in one case (4·5%) and suboptimal nulling of the myocardium was reported in two subjects (9%). CONCLUSIONS: Echocardiography significantly overestimates LV mass and underestimates LV volumes in patients with AL amyloid cardiomyopathy as compared to CMR. As it is present in more than three quarters of individuals with AL amyloid cardiomyopathy, any type of global LGE pattern may be considered as pathogenomic for amyloid heart disease.",10.1111/cpf.12216 [doi],"Fikrle M, Palecek T, Masek M, Kuchynka P, Straub J, Spicka I, Rysava R, Linhart A",,,Clin Physiol Funct Imaging. 2016 May;36(3):218-24. doi: 10.1111/cpf.12216. Epub 2014 Nov 13.,PubMed,DUDOSO,Menciona AL con criterios parciales — revisión manual
Diagnostic score of cardiac involvement in AL amyloidosis.,"AIMS: Early diagnosis of cardiac involvement is a key issue in the management of AL amyloidosis. Our objective was to establish a diagnostic score of cardiac involvement in AL amyloidosis and to compare it with the current consensus criteria [i.e. left ventricular hypertrophy >12 mm and N-terminal pro b-type natriuretic peptide (NT-proBNP) >332 ng/L]. METHODS AND RESULTS: We carried out a prospective and multicenter study on AL amyloidosis patients who underwent cardiac evaluation including clinical examination, electrocardiography (ECG), cardiac biomarkers, transthoracic echocardiography (TTE), and cardiac magnetic resonance imaging (CMR). Cardiac involvement was based on CMR and/or endomyocardial biopsy. In a derivation cohort of 114 patients (82 with cardiac involvement), the highest diagnostic accuracy was observed with NT-proBNP and troponin blood levels, TTE-derived global longitudinal strain (LS), and apical to basal LS gradient. By using multivariate analysis, we established a diagnostic score including global LS ≥-17% (1 point), apical/(basal + median) LS ≥0.90 (1 point), and troponin T >35 ng/L (1 point). A score >1 was associated with sensitivity of 94% and specificity of 97%, an area under the curve of 0.98 [95% confidence interval (CI) 0.93-0.99] as well as a net reclassification index of 0.39 (95% CI 0.28-0.46) when compared with consensus criteria. In a validation cohort of 73 AL amyloidosis patients, the area under the receiver operating characteristic curve of the diagnostic score was 0.97 (95% CI 0.90-0.99). CONCLUSION: Combining T troponin blood levels and two echo-derived strain parameters leads to very high accuracy for diagnosing cardiac involvement in AL amyloid patients.",5530860 [pii],"Nicol M, Baudet M, Brun S, Harel S, Royer B, Vignon M, Lairez O, Lavergne D, Jaccard A, Attias D, Macron L, Gayat E, Cohen-Solal A, Arnulf B, Logeart D",,,Eur Heart J Cardiovasc Imaging. 2020 May 1;21(5):542-548. doi: 10.1093/ehjci/jez180.,PubMed,DUDOSO,Menciona AL con criterios parciales — revisión manual
